Country,Country_Code,Latitude (average),Longitude (average)
Afghanistan,AFG,33.0,65.0
Albania,ALB,41.0,20.0
Algeria,DZA,28.0,3.0
American Samoa,ASM,-14.3333,-170.0
Andorra,AND,42.5,1.6
Angola,AGO,-12.5,18.5
Anguilla,AIA,18.25,-63.1667
Antarctica,ATA,-90.0,0.0
Antigua and Barbuda,ATG,17.05,-61.8
Argentina,ARG,-34.0,-64.0
Armenia,ARM,40.0,45.0
Aruba,ABW,12.5,-69.9667
Australia,AUS,-27.0,133.0
Austria,AUT,47.3333,13.3333
Azerbaijan,AZE,40.5,47.5
Bahamas,BHS,24.25,-76.0
Bahrain,BHR,26.0,50.55
Bangladesh,BGD,24.0,90.0
Barbados,BRB,13.1667,-59.5333
Belarus,BLR,53.0,28.0
Belgium,BEL,50.8333,4.0
Belize,BLZ,17.25,-88.75
Benin,BEN,9.5,2.25
Bermuda,BMU,32.3333,-64.75
Bhutan,BTN,27.5,90.5
Bolivia,BOL,-17.0,-65.0
Bosnia and Herzegovina,BIH,44.0,18.0
Botswana,BWA,-22.0,24.0
Bouvet Island,BVT,-54.4333,3.4
Brazil,BRA,-10.0,-55.0
British Indian Ocean Territory,IOT,-6.0,71.5
Brunei,BRN,4.5,114.6667
Bulgaria,BGR,43.0,25.0
Burkina Faso,BFA,13.0,-2.0
Burundi,BDI,-3.5,30.0
Cambodia,KHM,13.0,105.0
Cameroon,CMR,6.0,12.0
Canada,CAN,60.0,-95.0
Cape Verde,CPV,16.0,-24.0
Cayman Islands,CYM,19.5,-80.5
Central African Republic,CAF,7.0,21.0
Chad,TCD,15.0,19.0
Chile,CHL,-30.0,-71.0
China,CHN,35.0,105.0
Christmas Island,CXR,-10.5,105.6667
Cocos (Keeling) Islands,CCK,-12.5,96.8333
Colombia,COL,4.0,-72.0
Comoros,COM,-12.1667,44.25
Congo,COG,-1.0,15.0
"Congo, the Democratic Republic of the",COD,0.0,25.0
Cook Islands,COK,-21.2333,-159.7667
Costa Rica,CRI,10.0,-84.0
Cote d'Ivoire,CIV,8.0,-5.0
Croatia,HRV,45.1667,15.5
Cuba,CUB,21.5,-80.0
Cyprus,CYP,35.0,33.0
Czech Republic,CZE,49.75,15.5
Denmark,DNK,56.0,10.0
Djibouti,DJI,11.5,43.0
Dominica,DMA,15.4167,-61.3333
Dominican Republic,DOM,19.0,-70.6667
Ecuador,ECU,-2.0,-77.5
Egypt,EGY,27.0,30.0
El Salvador,SLV,13.8333,-88.9167
Equatorial Guinea,GNQ,2.0,10.0
Eritrea,ERI,15.0,39.0
Estonia,EST,59.0,26.0
Ethiopia,ETH,8.0,38.0
Falkland Islands (Malvinas),FLK,-51.75,-59.0
Faroe Islands,FRO,62.0,-7.0
Fiji,FJI,-18.0,175.0
Finland,FIN,64.0,26.0
France,FRA,46.0,2.0
French Guiana,GUF,4.0,-53.0
French Polynesia,PYF,-15.0,-140.0
French Southern Territories,ATF,-43.0,67.0
Gabon,GAB,-1.0,11.75
Gambia,GMB,13.4667,-16.5667
Georgia,GEO,42.0,43.5
Germany,DEU,51.0,9.0
Ghana,GHA,8.0,-2.0
Gibraltar,GIB,36.1833,-5.3667
Greece,GRC,39.0,22.0
Greenland,GRL,72.0,-40.0
Grenada,GRD,12.1167,-61.6667
Guadeloupe,GLP,16.25,-61.5833
Guam,GUM,13.4667,144.7833
Guatemala,GTM,15.5,-90.25
Guernsey,GGY,49.5,-2.56
Guinea,GIN,11.0,-10.0
Guinea-Bissau,GNB,12.0,-15.0
Guyana,GUY,5.0,-59.0
Haiti,HTI,19.0,-72.4167
Heard Island and McDonald Islands,HMD,-53.1,72.5167
Holy See (Vatican City State),VAT,41.9,12.45
Honduras,HND,15.0,-86.5
Hong Kong,HKG,22.25,114.1667
Hungary,HUN,47.0,20.0
Iceland,ISL,65.0,-18.0
India,IND,20.0,77.0
Indonesia,IDN,-5.0,120.0
"Iran, Islamic Republic of",IRN,32.0,53.0
Iraq,IRQ,33.0,44.0
Ireland,IRL,53.0,-8.0
Isle of Man,IMN,54.23,-4.55
Israel,ISR,31.5,34.75
Italy,ITA,42.8333,12.8333
Jamaica,JAM,18.25,-77.5
Japan,JPN,36.0,138.0
Jersey,JEY,49.21,-2.13
Jordan,JOR,31.0,36.0
Kazakhstan,KAZ,48.0,68.0
Kenya,KEN,1.0,38.0
Kiribati,KIR,1.4167,173.0
"Korea, Democratic People's Republic of",PRK,40.0,127.0
South Korea,KOR,37.0,127.5
Kuwait,KWT,29.3375,47.6581
Kyrgyzstan,KGZ,41.0,75.0
Lao People's Democratic Republic,LAO,18.0,105.0
Latvia,LVA,57.0,25.0
Lebanon,LBN,33.8333,35.8333
Lesotho,LSO,-29.5,28.5
Liberia,LBR,6.5,-9.5
Libya,LBY,25.0,17.0
Liechtenstein,LIE,47.1667,9.5333
Lithuania,LTU,56.0,24.0
Luxembourg,LUX,49.75,6.1667
Macao,MAC,22.1667,113.55
"Macedonia, Republic of North",MKD,41.8333,22.0
Madagascar,MDG,-20.0,47.0
Malawi,MWI,-13.5,34.0
Malaysia,MYS,2.5,112.5
Maldives,MDV,3.25,73.0
Mali,MLI,17.0,-4.0
Malta,MLT,35.8333,14.5833
Marshall Islands,MHL,9.0,168.0
Martinique,MTQ,14.6667,-61.0
Mauritania,MRT,20.0,-12.0
Mauritius,MUS,-20.2833,57.55
Mayotte,MYT,-12.8333,45.1667
Mexico,MEX,23.0,-102.0
"Micronesia, Federated States of",FSM,6.9167,158.25
"Moldova, Republic of",MDA,47.0,29.0
Monaco,MCO,43.7333,7.4
Mongolia,MNG,46.0,105.0
Montenegro,MNE,42.0,19.0
Montserrat,MSR,16.75,-62.2
Morocco,MAR,32.0,-5.0
Mozambique,MOZ,-18.25,35.0
Myanmar,MMR,22.0,98.0
Namibia,NAM,-22.0,17.0
Nauru,NRU,-0.5333,166.9167
Nepal,NPL,28.0,84.0
Netherlands,NLD,52.5,5.75
Netherlands Antilles,ANT,12.25,-68.75
New Caledonia,NCL,-21.5,165.5
New Zealand,NZL,-41.0,174.0
Nicaragua,NIC,13.0,-85.0
Niger,NER,16.0,8.0
Nigeria,NGA,10.0,8.0
Niue,NIU,-19.0333,-169.8667
Norfolk Island,NFK,-29.0333,167.95
Northern Mariana Islands,MNP,15.2,145.75
Norway,NOR,62.0,10.0
Oman,OMN,21.0,57.0
Pakistan,PAK,30.0,70.0
Palau,PLW,7.5,134.5
"Palestinian Territory, Occupied",PSE,32.0,35.25
Panama,PAN,9.0,-80.0
Papua New Guinea,PNG,-6.0,147.0
Paraguay,PRY,-23.0,-58.0
Peru,PER,-10.0,-76.0
Philippines,PHL,13.0,122.0
Pitcairn,PCN,-24.7,-127.4
Poland,POL,52.0,20.0
Portugal,PRT,39.5,-8.0
Puerto Rico,PRI,18.25,-66.5
Qatar,QAT,25.5,51.25
Réunion,REU,-21.1,55.6
Romania,ROU,46.0,25.0
Russia,RUS,60.0,100.0
Rwanda,RWA,-2.0,30.0
"Saint Helena, Ascension and Tristan da Cunha",SHN,-15.9333,-5.7
Saint Kitts and Nevis,KNA,17.3333,-62.75
Saint Lucia,LCA,13.8833,-61.1333
Saint Pierre and Miquelon,SPM,46.8333,-56.3333
Saint Vincent and the Grenadines,VCT,13.25,-61.2
Samoa,WSM,-13.5833,-172.3333
San Marino,SMR,43.7667,12.4167
Sao Tome and Principe,STP,1.0,7.0
Saudi Arabia,SAU,25.0,45.0
Senegal,SEN,14.0,-14.0
Serbia,SRB,44.0,21.0
Seychelles,SYC,-4.5833,55.6667
Sierra Leone,SLE,8.5,-11.5
Singapore,SGP,1.3667,103.8
Slovakia,SVK,48.6667,19.5
Slovenia,SVN,46.0,15.0
Solomon Islands,SLB,-8.0,159.0
Somalia,SOM,10.0,49.0
South Africa,ZAF,-29.0,24.0
South Georgia and the South Sandwich Islands,SGS,-54.5,-37.0
South Sudan,SSD,8.0,30.0
Spain,ESP,40.0,-4.0
Sri Lanka,LKA,7.0,81.0
Sudan,SDN,15.0,30.0
Suriname,SUR,4.0,-56.0
Svalbard and Jan Mayen,SJM,78.0,20.0
Swaziland,SWZ,-26.5,31.5
Sweden,SWE,62.0,15.0
Switzerland,CHE,47.0,8.0
Syrian Arab Republic,SYR,35.0,38.0
Taiwan,TWN,23.5,121.0
Tajikistan,TJK,39.0,71.0
"Tanzania, United Republic of",TZA,-6.0,35.0
Thailand,THA,15.0,100.0
