Country_Code,Year,Biofuel_Share_Elec,Coal_Share_Elec,Fossil_Share_Elec,Gas_Share_Elec,Hydro_Share_Elec,Low_Carbon_Share_Elec,Nuclear_Share_Elec,Oil_Share_Elec,Other_Renewables_Share_Elec,Renewables_Share_Elec,Solar_Share_Elec,Wind_Share_Elec,Greenhouse_Gas_Emissions
AFG,1900,,,,,,,,,,,,,
AFG,1901,,,,,,,,,,,,,
AFG,1902,,,,,,,,,,,,,
AFG,1903,,,,,,,,,,,,,
AFG,1904,,,,,,,,,,,,,
AFG,1905,,,,,,,,,,,,,
AFG,1906,,,,,,,,,,,,,
AFG,1907,,,,,,,,,,,,,
AFG,1908,,,,,,,,,,,,,
AFG,1909,,,,,,,,,,,,,
AFG,1910,,,,,,,,,,,,,
AFG,1911,,,,,,,,,,,,,
AFG,1912,,,,,,,,,,,,,
AFG,1913,,,,,,,,,,,,,
AFG,1914,,,,,,,,,,,,,
AFG,1915,,,,,,,,,,,,,
AFG,1916,,,,,,,,,,,,,
AFG,1917,,,,,,,,,,,,,
AFG,1918,,,,,,,,,,,,,
AFG,1919,,,,,,,,,,,,,
AFG,1920,,,,,,,,,,,,,
AFG,1921,,,,,,,,,,,,,
AFG,1922,,,,,,,,,,,,,
AFG,1923,,,,,,,,,,,,,
AFG,1924,,,,,,,,,,,,,
AFG,1925,,,,,,,,,,,,,
AFG,1926,,,,,,,,,,,,,
AFG,1927,,,,,,,,,,,,,
AFG,1928,,,,,,,,,,,,,
AFG,1929,,,,,,,,,,,,,
AFG,1930,,,,,,,,,,,,,
AFG,1931,,,,,,,,,,,,,
AFG,1932,,,,,,,,,,,,,
AFG,1933,,,,,,,,,,,,,
AFG,1934,,,,,,,,,,,,,
AFG,1935,,,,,,,,,,,,,
AFG,1936,,,,,,,,,,,,,
AFG,1937,,,,,,,,,,,,,
AFG,1938,,,,,,,,,,,,,
AFG,1939,,,,,,,,,,,,,
AFG,1940,,,,,,,,,,,,,
AFG,1941,,,,,,,,,,,,,
AFG,1942,,,,,,,,,,,,,
AFG,1943,,,,,,,,,,,,,
AFG,1944,,,,,,,,,,,,,
AFG,1945,,,,,,,,,,,,,
AFG,1946,,,,,,,,,,,,,
AFG,1947,,,,,,,,,,,,,
AFG,1948,,,,,,,,,,,,,
AFG,1949,,,,,,,,,,,,,
AFG,1950,,,,,,,,,,,,,
AFG,1951,,,,,,,,,,,,,
AFG,1952,,,,,,,,,,,,,
AFG,1953,,,,,,,,,,,,,
AFG,1954,,,,,,,,,,,,,
AFG,1955,,,,,,,,,,,,,
AFG,1956,,,,,,,,,,,,,
AFG,1957,,,,,,,,,,,,,
AFG,1958,,,,,,,,,,,,,
AFG,1959,,,,,,,,,,,,,
AFG,1960,,,,,,,,,,,,,
AFG,1961,,,,,,,,,,,,,
AFG,1962,,,,,,,,,,,,,
AFG,1963,,,,,,,,,,,,,
AFG,1964,,,,,,,,,,,,,
AFG,1965,,,,,,,,,,,,,
AFG,1966,,,,,,,,,,,,,
AFG,1967,,,,,,,,,,,,,
AFG,1968,,,,,,,,,,,,,
AFG,1969,,,,,,,,,,,,,
AFG,1970,,,,,,,,,,,,,
AFG,1971,,,,,,,,,,,,,
AFG,1972,,,,,,,,,,,,,
AFG,1973,,,,,,,,,,,,,
AFG,1974,,,,,,,,,,,,,
AFG,1975,,,,,,,,,,,,,
AFG,1976,,,,,,,,,,,,,
AFG,1977,,,,,,,,,,,,,
AFG,1978,,,,,,,,,,,,,
AFG,1979,,,,,,,,,,,,,
AFG,1980,,,,,,,,,,,,,
AFG,1981,,,,,,,,,,,,,
AFG,1982,,,,,,,,,,,,,
AFG,1983,,,,,,,,,,,,,
AFG,1984,,,,,,,,,,,,,
AFG,1985,,,,,,,,,,,,,
AFG,1986,,,,,,,,,,,,,
AFG,1987,,,,,,,,,,,,,
AFG,1988,,,,,,,,,,,,,
AFG,1989,,,,,,,,,,,,,
AFG,1990,,,,,,,,,,,,,
AFG,1991,,,,,,,,,,,,,
AFG,1992,,,,,,,,,,,,,
AFG,1993,,,,,,,,,,,,,
AFG,1994,,,,,,,,,,,,,
AFG,1995,,,,,,,,,,,,,
AFG,1996,,,,,,,,,,,,,
AFG,1997,,,,,,,,,,,,,
AFG,1998,,,,,,,,,,,,,
AFG,1999,,,,,,,,,,,,,
AFG,2000,0.0,0.0,34.043,0.0,65.957,65.957,0.0,34.043,0.0,65.957,0.0,0.0,0.12
AFG,2001,0.0,0.0,15.254,0.0,84.746,84.746,0.0,15.254,0.0,84.746,0.0,0.0,0.07
AFG,2002,0.0,0.0,18.841,0.0,81.159,81.159,0.0,18.841,0.0,81.159,0.0,0.0,0.1
AFG,2003,0.0,0.0,32.979,0.0,67.021,67.021,0.0,32.979,0.0,67.021,0.0,0.0,0.24
AFG,2004,0.0,0.0,37.079,0.0,62.921,62.921,0.0,37.079,0.0,62.921,0.0,0.0,0.24
AFG,2005,0.0,0.0,36.559,0.0,63.441,63.441,0.0,36.559,0.0,63.441,0.0,0.0,0.25
AFG,2006,0.0,0.0,23.81,0.0,76.19,76.19,0.0,23.81,0.0,76.19,0.0,0.0,0.16
AFG,2007,0.0,0.0,21.053,0.0,78.947,78.947,0.0,21.053,0.0,78.947,0.0,0.0,0.16
AFG,2008,0.0,0.0,26.027,0.0,73.973,73.973,0.0,26.027,0.0,73.973,0.0,0.0,0.14
AFG,2009,0.0,0.0,17.021,0.0,82.979,82.979,0.0,17.021,0.0,82.979,0.0,0.0,0.13
AFG,2010,0.0,0.0,20.213,0.0,79.787,79.787,0.0,20.213,0.0,79.787,0.0,0.0,0.15
AFG,2011,0.0,0.0,23.077,0.0,76.923,76.923,0.0,23.077,0.0,76.923,0.0,0.0,0.14
AFG,2012,0.0,0.0,15.909,0.0,80.682,84.091,0.0,15.909,0.0,84.091,3.409,0.0,0.12
AFG,2013,0.0,0.0,19.82,0.0,77.477,80.18,0.0,19.82,0.0,80.18,2.703,0.0,0.17
AFG,2014,0.0,0.0,13.793,0.0,83.621,86.207,0.0,13.793,0.0,86.207,2.586,0.0,0.13
AFG,2015,0.0,0.0,12.712,0.0,84.746,87.288,0.0,12.712,0.0,87.288,2.542,0.0,0.13
AFG,2016,0.0,0.0,12.397,0.0,84.298,87.603,0.0,12.397,0.0,87.603,3.306,0.0,0.13
AFG,2017,0.0,0.0,14.173,0.0,82.677,85.827,0.0,14.173,0.0,85.827,3.15,0.0,0.16
AFG,2018,0.0,0.0,17.094,0.0,79.487,82.906,0.0,17.094,0.0,82.906,3.419,0.0,0.16
AFG,2019,0.0,0.0,16.981,0.0,79.245,83.019,0.0,16.981,0.0,83.019,3.774,0.0,0.15
AFG,2020,0.0,0.0,15.385,0.0,79.487,84.615,0.0,15.385,0.0,84.615,5.128,0.0,0.09
ALB,1900,,,,,,,,,,,,,
ALB,1901,,,,,,,,,,,,,
ALB,1902,,,,,,,,,,,,,
ALB,1903,,,,,,,,,,,,,
ALB,1904,,,,,,,,,,,,,
ALB,1905,,,,,,,,,,,,,
ALB,1906,,,,,,,,,,,,,
ALB,1907,,,,,,,,,,,,,
ALB,1908,,,,,,,,,,,,,
ALB,1909,,,,,,,,,,,,,
ALB,1910,,,,,,,,,,,,,
ALB,1911,,,,,,,,,,,,,
ALB,1912,,,,,,,,,,,,,
ALB,1913,,,,,,,,,,,,,
ALB,1914,,,,,,,,,,,,,
ALB,1915,,,,,,,,,,,,,
ALB,1916,,,,,,,,,,,,,
ALB,1917,,,,,,,,,,,,,
ALB,1918,,,,,,,,,,,,,
ALB,1919,,,,,,,,,,,,,
