Country_Code,Name,Capacity_Mw,Latitude,Longitude
AFG,Kajaki Hydroelectric Power Plant Afghanistan,33.0,32.322,65.119
AFG,Kandahar DOG,10.0,31.67,65.795
AFG,Kandahar JOL,10.0,31.623,65.792
AFG,Mahipar Hydroelectric Power Plant Afghanistan,66.0,34.556,69.4787
AFG,Naghlu Dam Hydroelectric Power Plant Afghanistan,100.0,34.641,69.717
AFG,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55,34.4847,70.3633
AFG,Northwest Kabul Power Plant Afghanistan,42.0,34.5638,69.1134
AFG,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6.0,35.9416,68.71
AFG,Sarobi Dam Hydroelectric Power Plant Afghanistan,22.0,34.5865,69.7757
ALB,Bistrica 1,27.0,39.9116,20.1047
ALB,Fierza,500.0,42.2514,20.0431
ALB,Koman,600.0,42.1033,19.8224
ALB,Lanabregas,5.0,41.3428,19.8964
ALB,Shkopet,24.0,41.6796,19.8305
ALB,Ulez,25.0,41.6796,19.8936
ALB,Vau i Dijes,250.0,42.0137,19.6359
ALB,Vlora,98.0,40.4874,19.434
DZA,Adrar,20.0,27.908,-0.317
DZA,Ain Azel,20.0,35.88,5.475
DZA,Ain Djasser,520.0,35.8665,6.0262
DZA,Ain Sekhouna,20.0,34.532,0.804
DZA,Ain el Ibel I,20.0,34.346,3.164
DZA,Ain el Ibel II,53.0,34.342,3.169
DZA,Ain el Melh,20.0,34.861,4.204
DZA,Algerie Sud-Ouest,43.5,27.908,-0.317
DZA,Annaba,71.0,36.8924,7.7634
DZA,Aoulef,5.0,26.9989,1.3351
DZA,Arbaa,560.0,36.5988,3.1375
DZA,Bir Rebaa,10.0,31.285,8.565
DZA,Boufarik 1,100.0,36.5914,2.9223
DZA,Boufarik 2,450.0,36.596,2.878
DZA,Boutelilis,450.0,35.5658,-0.9386
DZA,Chelghoum El Aïd,15.0,36.225,6.11
DZA,El Kheneg,60.0,33.727,2.811
DZA,F'Krina,292.0,35.7666,7.3619
DZA,HPC Ouargla,30.0,32.602,5.834
DZA,Hadjret Ennous,1200.0,36.5767,2.0797
DZA,Hamma 2,418.0,36.7489,3.0823
DZA,Hassi Messaoud Mobile,72.0,31.6703,6.0531
DZA,Hassi Messoud,600.0,31.6703,6.0531
DZA,Hassi Messoud Nord 2,200.0,31.7877,6.0517
DZA,Hassi Messoud Ouest,492.0,31.8065,5.9924
DZA,Hassi R'mel ISCC,20.0,33.123,3.356
DZA,Hauts Plateaux Centre,106.6,34.342,3.169
DZA,Hauts Plateaux Est,73.8,35.68,5.9861
DZA,Ighil Emda,24.0,36.4739,5.2719
DZA,In Salah,5.0,27.183,2.504
DZA,Jijel,588.0,36.8139,5.876
DZA,Kahrama IPP,345.0,35.8064,-0.2476
DZA,Koudiet Eddraouch,1200.0,36.885,8.0778
DZA,Labiodh Sidi Cheikh,20.0,32.945,0.555
DZA,Labreg,396.0,34.5056,6.9848
DZA,Marsat,840.0,35.8,-0.1924
DZA,Marsat TG,184.0,35.8,-0.1924
DZA,Msila 1,980.0,35.7071,4.4804
DZA,Naâma,19.9,33.274,-0.372
DZA,Oued El Kebrit,15.0,35.919,7.87
DZA,Oued el Ma,20.0,35.68,5.9861
DZA,Ras Djinet,672.0,36.8509,3.6983
DZA,Ras el Oued,20.0,36.01,5.035
DZA,Ravin Blanc,73.0,35.7095,-0.6319
DZA,Reggane,5.0,26.768,0.137
DZA,Relizane,465.0,35.7835,0.5407
DZA,SKB IPP,484.0,36.1399,2.9296
DZA,SKS IPP SNC Lavalin,815.0,36.8789,6.9366
DZA,SPP1 Thermal,150.0,32.9475,3.238
DZA,Skikda,262.0,36.88,6.935
DZA,Tamanrasset,13.0,22.849,5.45
DZA,Terga,1200.0,35.4608,-1.2295
DZA,Tiaret,300.0,35.3396,1.3562
DZA,Tilghemt 1,200.0,33.1319,3.348
DZA,Tilghemt 2,600.0,33.1377,3.3678
DZA,Timimoun,9.0,29.22,0.223
DZA,Tindouf,9.0,27.752,-8.154
DZA,Télagh,12.0,34.692,-0.601
DZA,Zaouiet Kounta,6.0,27.241,-0.174
AGO,Biopio,22.8,-12.4706,13.7319
AGO,Biopio (hydro),14.6,-12.4706,13.7319
AGO,Cambambe,180.0,-9.7523,14.4809
AGO,Capanda,520.0,-9.7955,15.4672
AGO,Cazenga,132.0,-8.8383,13.2344
AGO,Huambo,16.26,-12.76,15.75
AGO,Lobito,20.0,-12.37,13.57
AGO,Luanda Diesel,58.0,-8.8383,13.2344
AGO,Luanda Refinery,18.5,-8.8383,13.2344
AGO,Malongo,10.0,-5.55,12.2
AGO,Matala,40.0,-14.7333,15.0333
AGO,Namibe,11.68,-15.1961,12.1522
AGO,Rio Luachimo,16.0,-7.3,20.85
AGO,Xitoto,11.34,-15.3333,15.0
ATA,McMurdo Station Generator,6.6,-77.847,166.6605
ATA,Ross Island,1.0,-77.8428,166.7271
ARG,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),479.2,-38.9368,-68.3556
ARG,AGUA DEL CAJON (GENERADOR DEL MEM),192.0,-38.9368,-68.3556
ARG,AGUA DEL TORO,130.0,-34.5792,-68.9892
ARG,ALICURA,1050.0,-40.58,-70.7489
ARG,ALMIRANTE BROWN,25.0,-34.8386,-58.4033
ARG,ALTO VALLE,97.5,-38.9524,-68.0218
ARG,ALUMINE,1.904,-39.2145,-70.9157
ARG,ALVAREZ CONDARCO,50.7,-33.0452,-69.0516
ARG,ARROYITO,128.0,-39.1009,-68.5982
ARG,ATUCHA I,370.0,-33.967,-59.2059
ARG,ATUCHA II,745.0,-33.9674,-59.2045
ARG,BANDERA,31.0,-23.8219,-64.7847
ARG,BARILOCHE (PUERTO  MORENO),5.736000000000001,-41.1167,-71.4167
ARG,BENJAMIN REOLIN,38.4,-32.1883,-64.3233
ARG,BERNARDO  DE IRIGOYEN,2.096,-26.2545,-53.6469
ARG,C.T. RUFINO,31.9,-34.2605,-62.7107
ARG,C.T. SAN VICENTE,27.6,-35.0241,-58.4237
ARG,CAA CATI,1.415,-27.7534,-57.6205
ARG,CABRA CORRAL,102.0,-25.2712,-65.3298
ARG,CACHEUTA (NUEVA),120.0,-33.0291,-69.1109
ARG,CACHI,1.07,-25.1089,-66.2106
ARG,CAFAYATE,4.182,-26.0715,-65.9876
ARG,CAPITAL CATAMARCA - PREDIO CHOYA,5.728,-28.4537,-65.7841
ARG,CAPITAL CATAMARCA - PREDIO EX CARCEL,7.075,-28.4773,-65.7872
ARG,CAPITAL CATAMARCA - PREDIO RIPIERA,4.675,-28.4684,-65.7797
ARG,CASA DE PIEDRA,60.0,-38.2143,-67.1908
ARG,CASSAFFOUSTH,17.28,-31.3992,-64.2006
ARG,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,620.0,-38.7872,-62.2536
ARG,CENTRAL LOMA DE LA LATA SA,540.0,-38.5127,-68.6048
ARG,CENTRAL PARQUE INDUSTRIAL LA BANDA,11.228,-38.062,-67.9463
ARG,CENTRAL T.GENELBA,673.6,-34.9027,-58.7334
ARG,CENTRAL T.GENELBA PLUS,164.55,-34.9027,-58.7334
ARG,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),280.0,-31.7112,-60.7811
ARG,CENTRAL TERMICA DE CICLO COMBINADO SALTA,643.0,-24.7456,-65.0513
ARG,CENTRAL TERMICA GÜEMES SA,361.0,-24.6894,-65.0425
ARG,CENTRAL TERMICA LA BANDA,32.0,-27.7528,-64.2655
ARG,CENTRAL TERMICA PIQUIRENDA SA,30.44,-22.3497,-63.7664
ARG,CENTRAL TERMICA REMEDIOS DE ESCALADA,25.0,-34.7208,-58.3881
ARG,CENTRAL TERMOELECTRICA GUILLERMO BROWN,524.0,-34.6268,-58.5438
ARG,CENTRAL TERMOELECTRICA MANUEL BELGRANO,868.2,-24.6894,-65.0425
ARG,CENTRAL TERMOELECTRICA TIMBUES,865.1400000000001,-32.5778,-60.791
