Country_Code,Year,Biofuel_Consumption,Coal_Consumption,Fossil_Fuel_Consumption,Gas_Consumption,Hydro_Consumption,Nuclear_Consumption,Low_Carbon_Consumption,Oil_Consumption,Other_Renewable_Consumption,Renewables_Consumption,Solar_Consumption,Wind_Consumption
AFG,1900,,,,,,,,,,,,
AFG,1901,,,,,,,,,,,,
AFG,1902,,,,,,,,,,,,
AFG,1903,,,,,,,,,,,,
AFG,1904,,,,,,,,,,,,
AFG,1905,,,,,,,,,,,,
AFG,1906,,,,,,,,,,,,
AFG,1907,,,,,,,,,,,,
AFG,1908,,,,,,,,,,,,
AFG,1909,,,,,,,,,,,,
AFG,1910,,,,,,,,,,,,
AFG,1911,,,,,,,,,,,,
AFG,1912,,,,,,,,,,,,
AFG,1913,,,,,,,,,,,,
AFG,1914,,,,,,,,,,,,
AFG,1915,,,,,,,,,,,,
AFG,1916,,,,,,,,,,,,
AFG,1917,,,,,,,,,,,,
AFG,1918,,,,,,,,,,,,
AFG,1919,,,,,,,,,,,,
AFG,1920,,,,,,,,,,,,
AFG,1921,,,,,,,,,,,,
AFG,1922,,,,,,,,,,,,
AFG,1923,,,,,,,,,,,,
AFG,1924,,,,,,,,,,,,
AFG,1925,,,,,,,,,,,,
AFG,1926,,,,,,,,,,,,
AFG,1927,,,,,,,,,,,,
AFG,1928,,,,,,,,,,,,
AFG,1929,,,,,,,,,,,,
AFG,1930,,,,,,,,,,,,
AFG,1931,,,,,,,,,,,,
AFG,1932,,,,,,,,,,,,
AFG,1933,,,,,,,,,,,,
AFG,1934,,,,,,,,,,,,
AFG,1935,,,,,,,,,,,,
AFG,1936,,,,,,,,,,,,
AFG,1937,,,,,,,,,,,,
AFG,1938,,,,,,,,,,,,
AFG,1939,,,,,,,,,,,,
AFG,1940,,,,,,,,,,,,
AFG,1941,,,,,,,,,,,,
AFG,1942,,,,,,,,,,,,
AFG,1943,,,,,,,,,,,,
AFG,1944,,,,,,,,,,,,
AFG,1945,,,,,,,,,,,,
AFG,1946,,,,,,,,,,,,
AFG,1947,,,,,,,,,,,,
AFG,1948,,,,,,,,,,,,
AFG,1949,,,,,,,,,,,,
AFG,1950,,,,,,,,,,,,
AFG,1951,,,,,,,,,,,,
AFG,1952,,,,,,,,,,,,
AFG,1953,,,,,,,,,,,,
AFG,1954,,,,,,,,,,,,
AFG,1955,,,,,,,,,,,,
AFG,1956,,,,,,,,,,,,
AFG,1957,,,,,,,,,,,,
AFG,1958,,,,,,,,,,,,
AFG,1959,,,,,,,,,,,,
AFG,1960,,,,,,,,,,,,
AFG,1961,,,,,,,,,,,,
AFG,1962,,,,,,,,,,,,
AFG,1963,,,,,,,,,,,,
AFG,1964,,,,,,,,,,,,
AFG,1965,,,,,,,,,,,,
AFG,1966,,,,,,,,,,,,
AFG,1967,,,,,,,,,,,,
AFG,1968,,,,,,,,,,,,
AFG,1969,,,,,,,,,,,,
AFG,1970,,,,,,,,,,,,
AFG,1971,,,,,,,,,,,,
AFG,1972,,,,,,,,,,,,
AFG,1973,,,,,,,,,,,,
AFG,1974,,,,,,,,,,,,
AFG,1975,,,,,,,,,,,,
AFG,1976,,,,,,,,,,,,
AFG,1977,,,,,,,,,,,,
AFG,1978,,,,,,,,,,,,
AFG,1979,,,,,,,,,,,,
AFG,1980,,,,,,,,,,,,
AFG,1981,,,,,,,,,,,,
AFG,1982,,,,,,,,,,,,
AFG,1983,,,,,,,,,,,,
AFG,1984,,,,,,,,,,,,
AFG,1985,,,,,,,,,,,,
AFG,1986,,,,,,,,,,,,
AFG,1987,,,,,,,,,,,,
AFG,1988,,,,,,,,,,,,
AFG,1989,,,,,,,,,,,,
AFG,1990,,,,,,,,,,,,
AFG,1991,,,,,,,,,,,,
AFG,1992,,,,,,,,,,,,
AFG,1993,,,,,,,,,,,,
AFG,1994,,,,,,,,,,,,
AFG,1995,,,,,,,,,,,,
AFG,1996,,,,,,,,,,,,
AFG,1997,,,,,,,,,,,,
AFG,1998,,,,,,,,,,,,
AFG,1999,,,,,,,,,,,,
AFG,2000,,,,,,,,,,,,
AFG,2001,,,,,,,,,,,,
AFG,2002,,,,,,,,,,,,
AFG,2003,,,,,,,,,,,,
AFG,2004,,,,,,,,,,,,
AFG,2005,,,,,,,,,,,,
AFG,2006,,,,,,,,,,,,
AFG,2007,,,,,,,,,,,,
AFG,2008,,,,,,,,,,,,
AFG,2009,,,,,,,,,,,,
AFG,2010,,,,,,,,,,,,
AFG,2011,,,,,,,,,,,,
AFG,2012,,,,,,,,,,,,
AFG,2013,,,,,,,,,,,,
AFG,2014,,,,,,,,,,,,
AFG,2015,,,,,,,,,,,,
AFG,2016,,,,,,,,,,,,
AFG,2017,,,,,,,,,,,,
AFG,2018,,,,,,,,,,,,
AFG,2019,,,,,,,,,,,,
AFG,2020,,,,,,,,,,,,
ALB,1900,,,,,,,,,,,,
ALB,1901,,,,,,,,,,,,
ALB,1902,,,,,,,,,,,,
ALB,1903,,,,,,,,,,,,
ALB,1904,,,,,,,,,,,,
ALB,1905,,,,,,,,,,,,
ALB,1906,,,,,,,,,,,,
ALB,1907,,,,,,,,,,,,
ALB,1908,,,,,,,,,,,,
ALB,1909,,,,,,,,,,,,
ALB,1910,,,,,,,,,,,,
ALB,1911,,,,,,,,,,,,
ALB,1912,,,,,,,,,,,,
ALB,1913,,,,,,,,,,,,
ALB,1914,,,,,,,,,,,,
ALB,1915,,,,,,,,,,,,
ALB,1916,,,,,,,,,,,,
ALB,1917,,,,,,,,,,,,
ALB,1918,,,,,,,,,,,,
ALB,1919,,,,,,,,,,,,
ALB,1920,,,,,,,,,,,,
ALB,1921,,,,,,,,,,,,
ALB,1922,,,,,,,,,,,,
ALB,1923,,,,,,,,,,,,
ALB,1924,,,,,,,,,,,,
ALB,1925,,,,,,,,,,,,
ALB,1926,,,,,,,,,,,,
ALB,1927,,,,,,,,,,,,
ALB,1928,,,,,,,,,,,,
ALB,1929,,,,,,,,,,,,
ALB,1930,,,,,,,,,,,,
ALB,1931,,,,,,,,,,,,
ALB,1932,,,,,,,,,,,,
ALB,1933,,,,,,,,,,,,
ALB,1934,,,,,,,,,,,,
ALB,1935,,,,,,,,,,,,
ALB,1936,,,,,,,,,,,,
ALB,1937,,,,,,,,,,,,
ALB,1938,,,,,,,,,,,,
ALB,1939,,,,,,,,,,,,
ALB,1940,,,,,,,,,,,,
ALB,1941,,,,,,,,,,,,
ALB,1942,,,,,,,,,,,,
ALB,1943,,,,,,,,,,,,
ALB,1944,,,,,,,,,,,,
ALB,1945,,,,,,,,,,,,
ALB,1946,,,,,,,,,,,,
ALB,1947,,,,,,,,,,,,
ALB,1948,,,,,,,,,,,,
ALB,1949,,,,,,,,,,,,
ALB,1950,,,,,,,,,,,,
ALB,1951,,,,,,,,,,,,
ALB,1952,,,,,,,,,,,,
ALB,1953,,,,,,,,,,,,
ALB,1954,,,,,,,,,,,,
ALB,1955,,,,,,,,,,,,
ALB,1956,,,,,,,,,,,,
ALB,1957,,,,,,,,,,,,
ALB,1958,,,,,,,,,,,,
ALB,1959,,,,,,,,,,,,
ALB,1960,,,,,,,,,,,,
ALB,1961,,,,,,,,,,,,
ALB,1962,,,,,,,,,,,,
ALB,1963,,,,,,,,,,,,
ALB,1964,,,,,,,,,,,,
ALB,1965,,,,,,,,,,,,
ALB,1966,,,,,,,,,,,,
ALB,1967,,,,,,,,,,,,
ALB,1968,,,,,,,,,,,,
ALB,1969,,,,,,,,,,,,
ALB,1970,,,,,,,,,,,,
ALB,1971,,,,,,,,,,,,
