Country_Code,Year,Biofuel_Electricity,Coal_Electricity,Fossil_Electricity,Gas_Electricity,Hydro_Electricity,Nuclear_Electricity,Low_Carbon_Electricity,Oil_Electricity,Other_Renewable_Electricity,Renewables_Electricity,Solar_Electricity,Wind_Electricity
AFG,1900,,,,,,,,,,,,
AFG,1901,,,,,,,,,,,,
AFG,1902,,,,,,,,,,,,
AFG,1903,,,,,,,,,,,,
AFG,1904,,,,,,,,,,,,
AFG,1905,,,,,,,,,,,,
AFG,1906,,,,,,,,,,,,
AFG,1907,,,,,,,,,,,,
AFG,1908,,,,,,,,,,,,
AFG,1909,,,,,,,,,,,,
AFG,1910,,,,,,,,,,,,
AFG,1911,,,,,,,,,,,,
AFG,1912,,,,,,,,,,,,
AFG,1913,,,,,,,,,,,,
AFG,1914,,,,,,,,,,,,
AFG,1915,,,,,,,,,,,,
AFG,1916,,,,,,,,,,,,
AFG,1917,,,,,,,,,,,,
AFG,1918,,,,,,,,,,,,
AFG,1919,,,,,,,,,,,,
AFG,1920,,,,,,,,,,,,
AFG,1921,,,,,,,,,,,,
AFG,1922,,,,,,,,,,,,
AFG,1923,,,,,,,,,,,,
AFG,1924,,,,,,,,,,,,
AFG,1925,,,,,,,,,,,,
AFG,1926,,,,,,,,,,,,
AFG,1927,,,,,,,,,,,,
AFG,1928,,,,,,,,,,,,
AFG,1929,,,,,,,,,,,,
AFG,1930,,,,,,,,,,,,
AFG,1931,,,,,,,,,,,,
AFG,1932,,,,,,,,,,,,
AFG,1933,,,,,,,,,,,,
AFG,1934,,,,,,,,,,,,
AFG,1935,,,,,,,,,,,,
AFG,1936,,,,,,,,,,,,
AFG,1937,,,,,,,,,,,,
AFG,1938,,,,,,,,,,,,
AFG,1939,,,,,,,,,,,,
AFG,1940,,,,,,,,,,,,
AFG,1941,,,,,,,,,,,,
AFG,1942,,,,,,,,,,,,
AFG,1943,,,,,,,,,,,,
AFG,1944,,,,,,,,,,,,
AFG,1945,,,,,,,,,,,,
AFG,1946,,,,,,,,,,,,
AFG,1947,,,,,,,,,,,,
AFG,1948,,,,,,,,,,,,
AFG,1949,,,,,,,,,,,,
AFG,1950,,,,,,,,,,,,
AFG,1951,,,,,,,,,,,,
AFG,1952,,,,,,,,,,,,
AFG,1953,,,,,,,,,,,,
AFG,1954,,,,,,,,,,,,
AFG,1955,,,,,,,,,,,,
AFG,1956,,,,,,,,,,,,
AFG,1957,,,,,,,,,,,,
AFG,1958,,,,,,,,,,,,
AFG,1959,,,,,,,,,,,,
AFG,1960,,,,,,,,,,,,
AFG,1961,,,,,,,,,,,,
AFG,1962,,,,,,,,,,,,
AFG,1963,,,,,,,,,,,,
AFG,1964,,,,,,,,,,,,
AFG,1965,,,,,,,,,,,,
AFG,1966,,,,,,,,,,,,
AFG,1967,,,,,,,,,,,,
AFG,1968,,,,,,,,,,,,
AFG,1969,,,,,,,,,,,,
AFG,1970,,,,,,,,,,,,
AFG,1971,,,,,,,,,,,,
AFG,1972,,,,,,,,,,,,
AFG,1973,,,,,,,,,,,,
AFG,1974,,,,,,,,,,,,
AFG,1975,,,,,,,,,,,,
AFG,1976,,,,,,,,,,,,
AFG,1977,,,,,,,,,,,,
AFG,1978,,,,,,,,,,,,
AFG,1979,,,,,,,,,,,,
AFG,1980,,,,,,,,,,,,
AFG,1981,,,,,,,,,,,,
AFG,1982,,,,,,,,,,,,
AFG,1983,,,,,,,,,,,,
AFG,1984,,,,,,,,,,,,
AFG,1985,,,,,,,,,,,,
AFG,1986,,,,,,,,,,,,
AFG,1987,,,,,,,,,,,,
AFG,1988,,,,,,,,,,,,
AFG,1989,,,,,,,,,,,,
AFG,1990,,,,,,,,,,,,
AFG,1991,,,,,,,,,,,,
AFG,1992,,,,,,,,,,,,
AFG,1993,,,,,,,,,,,,
AFG,1994,,,,,,,,,,,,
AFG,1995,,,,,,,,,,,,
AFG,1996,,,,,,,,,,,,
AFG,1997,,,,,,,,,,,,
AFG,1998,,,,,,,,,,,,
AFG,1999,,,,,,,,,,,,
AFG,2000,0.0,0.0,0.16,0.0,0.31,0.0,0.31,0.16,0.0,0.31,0.0,0.0
AFG,2001,0.0,0.0,0.09,0.0,0.5,0.0,0.5,0.09,0.0,0.5,0.0,0.0
AFG,2002,0.0,0.0,0.13,0.0,0.56,0.0,0.56,0.13,0.0,0.56,0.0,0.0
AFG,2003,0.0,0.0,0.31,0.0,0.63,0.0,0.63,0.31,0.0,0.63,0.0,0.0
AFG,2004,0.0,0.0,0.33,0.0,0.56,0.0,0.56,0.33,0.0,0.56,0.0,0.0
AFG,2005,0.0,0.0,0.34,0.0,0.59,0.0,0.59,0.34,0.0,0.59,0.0,0.0
AFG,2006,0.0,0.0,0.2,0.0,0.64,0.0,0.64,0.2,0.0,0.64,0.0,0.0
AFG,2007,0.0,0.0,0.2,0.0,0.75,0.0,0.75,0.2,0.0,0.75,0.0,0.0
AFG,2008,0.0,0.0,0.19,0.0,0.54,0.0,0.54,0.19,0.0,0.54,0.0,0.0
AFG,2009,0.0,0.0,0.16,0.0,0.78,0.0,0.78,0.16,0.0,0.78,0.0,0.0
AFG,2010,0.0,0.0,0.19,0.0,0.75,0.0,0.75,0.19,0.0,0.75,0.0,0.0
AFG,2011,0.0,0.0,0.18,0.0,0.6,0.0,0.6,0.18,0.0,0.6,0.0,0.0
AFG,2012,0.0,0.0,0.14,0.0,0.71,0.0,0.74,0.14,0.0,0.74,0.03,0.0
AFG,2013,0.0,0.0,0.22,0.0,0.86,0.0,0.89,0.22,0.0,0.89,0.03,0.0
AFG,2014,0.0,0.0,0.16,0.0,0.97,0.0,1.0,0.16,0.0,1.0,0.03,0.0
AFG,2015,0.0,0.0,0.15,0.0,1.0,0.0,1.03,0.15,0.0,1.03,0.03,0.0
AFG,2016,0.0,0.0,0.15,0.0,1.02,0.0,1.06,0.15,0.0,1.06,0.04,0.0
AFG,2017,0.0,0.0,0.18,0.0,1.05,0.0,1.09,0.18,0.0,1.09,0.04,0.0
AFG,2018,0.0,0.0,0.2,0.0,0.93,0.0,0.97,0.2,0.0,0.97,0.04,0.0
AFG,2019,0.0,0.0,0.18,0.0,0.84,0.0,0.88,0.18,0.0,0.88,0.04,0.0
AFG,2020,0.0,0.0,0.12,0.0,0.62,0.0,0.66,0.12,0.0,0.66,0.04,0.0
ALB,1900,,,,,,,,,,,,
ALB,1901,,,,,,,,,,,,
ALB,1902,,,,,,,,,,,,
ALB,1903,,,,,,,,,,,,
ALB,1904,,,,,,,,,,,,
ALB,1905,,,,,,,,,,,,
ALB,1906,,,,,,,,,,,,
ALB,1907,,,,,,,,,,,,
ALB,1908,,,,,,,,,,,,
ALB,1909,,,,,,,,,,,,
ALB,1910,,,,,,,,,,,,
ALB,1911,,,,,,,,,,,,
ALB,1912,,,,,,,,,,,,
ALB,1913,,,,,,,,,,,,
ALB,1914,,,,,,,,,,,,
ALB,1915,,,,,,,,,,,,
ALB,1916,,,,,,,,,,,,
ALB,1917,,,,,,,,,,,,
ALB,1918,,,,,,,,,,,,
ALB,1919,,,,,,,,,,,,
ALB,1920,,,,,,,,,,,,
ALB,1921,,,,,,,,,,,,
ALB,1922,,,,,,,,,,,,
ALB,1923,,,,,,,,,,,,
ALB,1924,,,,,,,,,,,,
ALB,1925,,,,,,,,,,,,
ALB,1926,,,,,,,,,,,,
ALB,1927,,,,,,,,,,,,
ALB,1928,,,,,,,,,,,,
ALB,1929,,,,,,,,,,,,
ALB,1930,,,,,,,,,,,,
ALB,1931,,,,,,,,,,,,
ALB,1932,,,,,,,,,,,,
