Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
AFG,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33.0,32.322,65.119
AFG,Kandahar DOG,WKS0070144,10.0,31.67,65.795
AFG,Kandahar JOL,WKS0071196,10.0,31.623,65.792
AFG,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66.0,34.556,69.4787
AFG,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,34.641,69.717
AFG,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,34.4847,70.3633
AFG,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42.0,34.5638,69.1134
AFG,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6.0,35.9416,68.71
AFG,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22.0,34.5865,69.7757
ALB,Bistrica 1,WRI1002169,27.0,39.9116,20.1047
ALB,Fierza,WRI1002170,500.0,42.2514,20.0431
ALB,Koman,WRI1002171,600.0,42.1033,19.8224
ALB,Lanabregas,WRI1002172,5.0,41.3428,19.8964
ALB,Shkopet,WRI1002173,24.0,41.6796,19.8305
ALB,Ulez,WRI1002174,25.0,41.6796,19.8936
ALB,Vau i Dijes,WRI1002175,250.0,42.0137,19.6359
ALB,Vlora,WRI1002176,98.0,40.4874,19.434
DZA,Adrar,WKS0068905,20.0,27.908,-0.317
DZA,Ain Azel,WKS0065285,20.0,35.88,5.475
DZA,Ain Djasser,WRI1023776,520.0,35.8665,6.0262
DZA,Ain Sekhouna,WKS0068919,20.0,34.532,0.804
DZA,Ain el Ibel I,WKS0068916,20.0,34.346,3.164
DZA,Ain el Ibel II,WKS0073479,53.0,34.342,3.169
DZA,Ain el Melh,WKS0068915,20.0,34.861,4.204
DZA,Algerie Sud-Ouest,WKS0068912,43.5,27.908,-0.317
DZA,Annaba,WRI1023795,71.0,36.8924,7.7634
DZA,Aoulef,WKS0068908,5.0,26.9989,1.3351
DZA,Arbaa,WRI1023777,560.0,36.5988,3.1375
DZA,Bir Rebaa,WKS0072833,10.0,31.285,8.565
DZA,Boufarik 1,WRI1023792,100.0,36.5914,2.9223
DZA,Boufarik 2,WRI1023793,450.0,36.596,2.878
DZA,Boutelilis,WRI1023781,450.0,35.5658,-0.9386
DZA,Chelghoum El Aïd,WKS0065282,15.0,36.225,6.11
DZA,El Kheneg,WKS0068917,60.0,33.727,2.811
DZA,F'Krina,WRI1023785,292.0,35.7666,7.3619
DZA,HPC Ouargla,WKS0068918,30.0,32.602,5.834
DZA,Hadjret Ennous,WRI1023768,1200.0,36.5767,2.0797
DZA,Hamma 2,WRI1023783,418.0,36.7489,3.0823
DZA,Hassi Messaoud Mobile,WRI1023796,72.0,31.6703,6.0531
DZA,Hassi Messoud,WRI1023779,600.0,31.6703,6.0531
DZA,Hassi Messoud Nord 2,WRI1023790,200.0,31.7877,6.0517
DZA,Hassi Messoud Ouest,WRI1023799,492.0,31.8065,5.9924
DZA,Hassi R'mel ISCC,WKS0071083,20.0,33.123,3.356
DZA,Hauts Plateaux Centre,WKS0068911,106.6,34.342,3.169
DZA,Hauts Plateaux Est,WKS0065280,73.8,35.68,5.9861
DZA,Ighil Emda,WRI1023798,24.0,36.4739,5.2719
DZA,In Salah,WKS0068914,5.0,27.183,2.504
DZA,Jijel,WRI1023775,588.0,36.8139,5.876
DZA,Kahrama IPP,WRI1023784,345.0,35.8064,-0.2476
DZA,Koudiet Eddraouch,WRI1023769,1200.0,36.885,8.0778
DZA,Labiodh Sidi Cheikh,WKS0068921,20.0,32.945,0.555
DZA,Labreg,WRI1023815,396.0,34.5056,6.9848
DZA,Marsat,WRI1023772,840.0,35.8,-0.1924
DZA,Marsat TG,WRI1023789,184.0,35.8,-0.1924
DZA,Msila 1,WRI1023773,980.0,35.7071,4.4804
DZA,Naâma,WKS0068920,19.9,33.274,-0.372
DZA,Oued El Kebrit,WKS0065281,15.0,35.919,7.87
DZA,Oued el Ma,WKS0065283,20.0,35.68,5.9861
DZA,Ras Djinet,WRI1023774,672.0,36.8509,3.6983
DZA,Ras el Oued,WKS0065284,20.0,36.01,5.035
DZA,Ravin Blanc,WRI1023791,73.0,35.7095,-0.6319
DZA,Reggane,WKS0068907,5.0,26.768,0.137
DZA,Relizane,WRI1023780,465.0,35.7835,0.5407
DZA,SKB IPP,WRI1023778,484.0,36.1399,2.9296
DZA,SKS IPP SNC Lavalin,WRI1023771,815.0,36.8789,6.9366
DZA,SPP1 Thermal,WRI1023797,150.0,32.9475,3.238
DZA,Skikda,WRI1023786,262.0,36.88,6.935
DZA,Tamanrasset,WKS0068926,13.0,22.849,5.45
DZA,Terga,WRI1023770,1200.0,35.4608,-1.2295
DZA,Tiaret,WRI1023782,300.0,35.3396,1.3562
DZA,Tilghemt 1,WRI1023787,200.0,33.1319,3.348
DZA,Tilghemt 2,WRI1023788,600.0,33.1377,3.3678
DZA,Timimoun,WKS0068909,9.0,29.22,0.223
DZA,Tindouf,WKS0068925,9.0,27.752,-8.154
DZA,Télagh,WKS0068922,12.0,34.692,-0.601
DZA,Zaouiet Kounta,WKS0068906,6.0,27.241,-0.174
AGO,Biopio,WRI1023002,22.8,-12.4706,13.7319
AGO,Biopio (hydro),WRI1023001,14.6,-12.4706,13.7319
AGO,Cambambe,WRI1023003,180.0,-9.7523,14.4809
AGO,Capanda,WRI1023004,520.0,-9.7955,15.4672
AGO,Cazenga,WRI1023005,132.0,-8.8383,13.2344
AGO,Huambo,WRI1023006,16.26,-12.76,15.75
AGO,Lobito,WRI1023007,20.0,-12.37,13.57
