,Code,Fuel
0,AFG,Hydro
1,AFG,Solar
2,AFG,Gas
3,ALB,Hydro
4,ALB,Other
5,DZA,Solar
6,DZA,Gas
7,DZA,Hydro
8,,
9,,
10,AGO,Oil
11,AGO,Hydro
12,AGO,Gas
13,,
14,ATA,Oil
15,ATA,Wind
16,,
17,ARG,Other
18,ARG,Gas
19,ARG,Hydro
20,ARG,Oil
21,ARG,Nuclear
22,ARG,Coal
23,ARG,Solar
24,ARG,Wind
25,ARM,Nuclear
26,ARM,Gas
27,ARM,Hydro
28,,
29,AUS,Solar
30,AUS,Wind
31,AUS,Oil
32,AUS,Coal
33,AUS,Gas
34,AUS,Hydro
35,AUS,Waste
36,AUS,Biomass
37,AUT,Hydro
38,AUT,Gas
39,AUT,Wind
40,AZE,Gas
41,AZE,Oil
42,AZE,Hydro
43,,
44,BHR,Gas
45,BHR,Solar
46,BHR,Oil
47,BGD,Oil
48,BGD,Gas
49,BGD,Coal
50,BGD,Solar
51,BGD,Hydro
52,,
53,BLR,Gas
54,BLR,Solar
55,BEL,Oil
56,BEL,Gas
57,BEL,Biomass
58,BEL,Wind
59,BEL,Hydro
60,BEL,Waste
61,BEL,Nuclear
62,BEL,Solar
63,BEL,Coal
64,,
65,BEN,Gas
66,BEN,Oil
67,,
68,BTN,Hydro
69,BOL,Gas
70,BOL,Hydro
71,BOL,Solar
72,BIH,Hydro
73,BIH,Coal
74,BWA,Coal
75,,
76,BRA,Hydro
77,BRA,Oil
78,BRA,Biomass
79,BRA,Gas
80,BRA,Wind
81,BRA,Nuclear
82,BRA,Coal
83,BRA,Waste
84,BRA,Solar
85,BRA,Other
86,,
87,BRN,Gas
88,BGR,Coal
89,BGR,Solar
90,BGR,Hydro
91,BGR,Nuclear
92,BGR,Wind
93,BFA,Hydro
94,BFA,Oil
95,BFA,Solar
96,BDI,Hydro
97,BDI,Solar
98,KHM,Biomass
99,KHM,Solar
100,KHM,Hydro
101,KHM,Oil
102,KHM,Waste
103,KHM,Coal
104,CMR,Oil
105,CMR,Hydro
106,CMR,Gas
107,CAN,Solar
108,CAN,Hydro
109,CAN,Wind
110,CAN,Biomass
111,CAN,Gas
112,CAN,Wave and Tidal
113,CAN,Coal
114,CAN,Nuclear
115,CAN,Oil
116,CAN,Other
117,CPV,Oil
118,CPV,Solar
119,,
120,CAF,Oil
121,CAF,Hydro
122,,
123,CHL,Hydro
124,CHL,Oil
125,CHL,Wind
126,CHL,Gas
127,CHL,Solar
128,CHL,Biomass
129,CHL,Coal
130,CHL,Petcoke
131,CHN,Coal
132,CHN,Hydro
133,CHN,Wind
134,CHN,Solar
135,CHN,Gas
136,CHN,Nuclear
137,CHN,Oil
138,CHN,Geothermal
139,,
140,,
141,COL,Hydro
142,COL,Oil
143,COL,Solar
144,COL,Coal
145,COL,Gas
146,,
147,COG,Gas
148,COG,Hydro
149,COG,Oil
150,COD,Gas
151,COD,Hydro
152,COD,Oil
153,,
154,,
155,CRI,Hydro
